#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.23481e+00   1.00000e+00   6.05299e+00 
  3.55000e-03   3.54223e-03   9.95627e-01  -1.22908e+00   1.02140e+00   6.00433e+00 
  3.68822e-03   3.67983e-03   9.95457e-01  -1.22886e+00   1.02223e+00   6.00244e+00 
  3.83182e-03   3.82276e-03   9.95280e-01  -1.22863e+00   1.02309e+00   6.00048e+00 
  3.98100e-03   3.97124e-03   9.95097e-01  -1.22839e+00   1.02399e+00   5.99844e+00 
  4.13600e-03   4.12546e-03   9.94907e-01  -1.22814e+00   1.02492e+00   5.99632e+00 
  4.29703e-03   4.28566e-03   9.94709e-01  -1.22788e+00   1.02588e+00   5.99412e+00 
  4.46434e-03   4.45206e-03   9.94503e-01  -1.22761e+00   1.02689e+00   5.99184e+00 
  4.63815e-03   4.62490e-03   9.94290e-01  -1.22733e+00   1.02793e+00   5.98946e+00 
  4.81874e-03   4.80443e-03   9.94069e-01  -1.22704e+00   1.02901e+00   5.98700e+00 
  5.00635e-03   4.99091e-03   9.93838e-01  -1.22674e+00   1.03013e+00   5.98443e+00 
  5.20127e-03   5.18460e-03   9.93599e-01  -1.22643e+00   1.03130e+00   5.98177e+00 
  5.40378e-03   5.38579e-03   9.93351e-01  -1.22610e+00   1.03251e+00   5.97901e+00 
  5.61417e-03   5.59476e-03   9.93093e-01  -1.22577e+00   1.03377e+00   5.97614e+00 
  5.83275e-03   5.81180e-03   9.92825e-01  -1.22542e+00   1.03507e+00   5.97316e+00 
  6.05985e-03   6.03723e-03   9.92547e-01  -1.22505e+00   1.03643e+00   5.97007e+00 
  6.29578e-03   6.27138e-03   9.92258e-01  -1.22467e+00   1.03784e+00   5.96685e+00 
  6.54090e-03   6.51456e-03   9.91958e-01  -1.22428e+00   1.03930e+00   5.96351e+00 
  6.79557e-03   6.76714e-03   9.91646e-01  -1.22387e+00   1.04082e+00   5.96004e+00 
  7.06015e-03   7.02947e-03   9.91322e-01  -1.22345e+00   1.04239e+00   5.95644e+00 
  7.33503e-03   7.30192e-03   9.90986e-01  -1.22301e+00   1.04403e+00   5.95270e+00 
  7.62062e-03   7.58488e-03   9.90637e-01  -1.22256e+00   1.04573e+00   5.94881e+00 
  7.91732e-03   7.87875e-03   9.90274e-01  -1.22208e+00   1.04749e+00   5.94478e+00 
  8.22558e-03   8.18395e-03   9.89897e-01  -1.22159e+00   1.04933e+00   5.94059e+00 
  8.54583e-03   8.50091e-03   9.89506e-01  -1.22108e+00   1.05123e+00   5.93624e+00 
  8.87856e-03   8.83008e-03   9.89100e-01  -1.22055e+00   1.05320e+00   5.93172e+00 
  9.22424e-03   9.17192e-03   9.88678e-01  -1.22000e+00   1.05525e+00   5.92702e+00 
  9.58338e-03   9.52691e-03   9.88240e-01  -1.21943e+00   1.05738e+00   5.92215e+00 
  9.95650e-03   9.89556e-03   9.87785e-01  -1.21883e+00   1.05959e+00   5.91709e+00 
  1.03442e-02   1.02784e-02   9.87313e-01  -1.21821e+00   1.06188e+00   5.91183e+00 
  1.07469e-02   1.06759e-02   9.86823e-01  -1.21757e+00   1.06426e+00   5.90638e+00 
  1.11653e-02   1.10887e-02   9.86313e-01  -1.21691e+00   1.06673e+00   5.90071e+00 
  1.16000e-02   1.15174e-02   9.85784e-01  -1.21622e+00   1.06930e+00   5.89483e+00 
  1.20517e-02   1.19625e-02   9.85235e-01  -1.21550e+00   1.07196e+00   5.88872e+00 
  1.25209e-02   1.24246e-02   9.84665e-01  -1.21476e+00   1.07472e+00   5.88237e+00 
  1.30084e-02   1.29045e-02   9.84073e-01  -1.21399e+00   1.07758e+00   5.87579e+00 
  1.35149e-02   1.34028e-02   9.83458e-01  -1.21319e+00   1.08056e+00   5.86895e+00 
  1.40411e-02   1.39201e-02   9.82820e-01  -1.21235e+00   1.08364e+00   5.86185e+00 
  1.45877e-02   1.44572e-02   9.82158e-01  -1.21149e+00   1.08685e+00   5.85448e+00 
  1.51557e-02   1.50148e-02   9.81470e-01  -1.21059e+00   1.09017e+00   5.84683e+00 
