#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31827e+00   1.00000e+00  -3.87157e+00 
  7.50000e-02   7.14279e-02   9.06488e-01  -1.17878e+00   7.47996e-01  -2.89591e+00 
  1.50000e-01   1.36216e-01   8.22714e-01  -1.05806e+00   5.59472e-01  -2.16665e+00 
  2.25000e-01   1.95046e-01   7.47382e-01  -9.53229e-01   4.18420e-01  -1.62105e+00 
  3.00000e-01   2.48507e-01   6.79393e-01  -8.61878e-01   3.12895e-01  -1.21264e+00 
  3.75000e-01   2.97115e-01   6.17813e-01  -7.82025e-01   2.33966e-01  -9.06859e-01 
  4.50000e-01   3.41319e-01   5.61843e-01  -7.12012e-01   1.74950e-01  -6.77945e-01 
  5.25000e-01   3.81515e-01   5.10800e-01  -6.50447e-01   1.30839e-01  -5.06626e-01 
  6.00000e-01   4.18048e-01   4.64095e-01  -5.96155e-01   9.78801e-02  -3.78469e-01 
  6.75000e-01   4.51225e-01   4.21220e-01  -5.48144e-01   7.32622e-02  -2.82650e-01 
  7.50000e-01   4.81315e-01   3.81737e-01  -5.05567e-01   5.48788e-02  -2.11051e-01 
  8.25000e-01   5.08560e-01   3.45267e-01  -4.67704e-01   4.11527e-02  -1.57579e-01 
  9.00000e-01   5.33173e-01   3.11479e-01  -4.33935e-01   3.09038e-02  -1.17667e-01 
  9.75000e-01   5.55342e-01   2.80088e-01  -4.03729e-01   2.32501e-02  -8.78865e-02 
  1.05000e+00   5.75239e-01   2.50843e-01  -3.76627e-01   1.75322e-02  -6.56737e-02 
  1.12500e+00   5.93017e-01   2.23526e-01  -3.52232e-01   1.32582e-02  -4.91078e-02 
  1.20000e+00   6.08812e-01   1.97949e-01  -3.30200e-01   1.00611e-02  -3.67534e-02 
  1.27500e+00   6.22748e-01   1.73945e-01  -3.10230e-01   7.66698e-03  -2.75381e-02 
  1.35000e+00   6.34939e-01   1.51369e-01  -2.92062e-01   5.87204e-03  -2.06619e-02 
  1.42500e+00   6.45486e-01   1.30096e-01  -2.75469e-01   4.52426e-03  -1.55284e-02 
  1.50000e+00   6.54483e-01   1.10014e-01  -2.60251e-01   3.51042e-03  -1.16931e-02 
  1.57500e+00   6.62016e-01   9.10283e-02  -2.46234e-01   2.74618e-03  -8.82519e-03 
  1.65000e+00   6.68163e-01   7.30532e-02  -2.33266e-01   2.16867e-03  -6.67846e-03 
  1.72500e+00   6.72997e-01   5.60156e-02  -2.21213e-01   1.73101e-03  -5.06966e-03 
  1.80000e+00   6.76587e-01   3.98514e-02  -2.09957e-01   1.39821e-03  -3.86244e-03 
  1.87500e+00   6.78995e-01   2.45047e-02  -1.99396e-01   1.14416e-03  -2.95533e-03 
  1.95000e+00   6.80282e-01   9.92684e-03  -1.89440e-01   9.49312e-04  -2.27277e-03 
  2.02500e+00   6.80503e-01  -3.92452e-03  -1.80011e-01   7.99048e-04  -1.75844e-03 
  2.10000e+00   6.79710e-01  -1.70863e-02  -1.71040e-01   6.82400e-04  -1.37034e-03 
  2.17500e+00   6.77956e-01  -2.95904e-02  -1.62466e-01   5.91132e-04  -1.07711e-03 
  2.25000e+00   6.75288e-01  -4.14648e-02  -1.54239e-01   5.19052e-04  -8.55297e-04 
  2.32500e+00   6.71751e-01  -5.27338e-02  -1.46313e-01   4.61495e-04  -6.87318e-04 
  2.40000e+00   6.67392e-01  -6.34184e-02  -1.38650e-01   4.14941e-04  -5.59985e-04 
  2.47500e+00   6.62253e-01  -7.35371e-02  -1.31216e-01   3.76731e-04  -4.63376e-04 
  2.55000e+00   6.56375e-01  -8.31059e-02  -1.23984e-01   3.44855e-04  -3.90010e-04 
  2.62500e+00   6.49800e-01  -9.21392e-02  -1.16930e-01   3.17791e-04  -3.34235e-04 
  2.70000e+00   6.42568e-01  -1.00649e-01  -1.10034e-01   2.94388e-04  -2.91766e-04 
  2.77500e+00   6.34716e-01  -1.08648e-01  -1.03281e-01   2.73776e-04  -2.59352e-04 
  2.85000e+00   6.26283e-01  -1.16145e-01  -9.66562e-02   2.55296e-04  -2.34515e-04 
