#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28189e+00   1.00000e+00  -1.12204e+00 
  7.50000e-02   7.15304e-02   9.09224e-01  -1.14210e+00   9.16078e-01  -1.11290e+00 
  1.50000e-01   1.36628e-01   8.28228e-01  -1.02060e+00   8.33484e-01  -1.08702e+00 
  2.25000e-01   1.95977e-01   7.55749e-01  -9.14554e-01   7.53378e-01  -1.04699e+00 
  3.00000e-01   2.50176e-01   6.90716e-01  -8.21665e-01   6.76718e-01  -9.95646e-01 
  3.75000e-01   2.99748e-01   6.32218e-01  -7.40012e-01   6.04243e-01  -9.35839e-01 
  4.50000e-01   3.45153e-01   5.79474e-01  -6.67997e-01   5.36486e-01  -8.70282e-01 
  5.25000e-01   3.86796e-01   5.31811e-01  -6.04283e-01   4.73783e-01  -8.01437e-01 
  6.00000e-01   4.25037e-01   4.88652e-01  -5.47746e-01   4.16298e-01  -7.31440e-01 
  6.75000e-01   4.60194e-01   4.49494e-01  -4.97437e-01   3.64051e-01  -6.62070e-01 
  7.50000e-01   4.92550e-01   4.13901e-01  -4.52548e-01   3.16937e-01  -5.94748e-01 
  8.25000e-01   5.22359e-01   3.81493e-01  -4.12396e-01   2.74760e-01  -5.30550e-01 
  9.00000e-01   5.49845e-01   3.51938e-01  -3.76394e-01   2.37256e-01  -4.70243e-01 
  9.75000e-01   5.75213e-01   3.24943e-01  -3.44039e-01   2.04114e-01  -4.14322e-01 
  1.05000e+00   5.98644e-01   3.00252e-01  -3.14900e-01   1.74992e-01  -3.63053e-01 
  1.12500e+00   6.20303e-01   2.77637e-01  -2.88601e-01   1.49537e-01  -3.16520e-01 
  1.20000e+00   6.40337e-01   2.56899e-01  -2.64822e-01   1.27397e-01  -2.74660e-01 
  1.27500e+00   6.58880e-01   2.37858e-01  -2.43279e-01   1.08226e-01  -2.37305e-01 
  1.35000e+00   6.76054e-01   2.20357e-01  -2.23729e-01   9.16946e-02  -2.04208e-01 
  1.42500e+00   6.91969e-01   2.04254e-01  -2.05957e-01   7.74952e-02  -1.75075e-01 
  1.50000e+00   7.06724e-01   1.89424e-01  -1.89777e-01   6.53423e-02  -1.49582e-01 
  1.57500e+00   7.20411e-01   1.75752e-01  -1.75023e-01   5.49754e-02  -1.27392e-01 
  1.65000e+00   7.33113e-01   1.63138e-01  -1.61552e-01   4.61592e-02  -1.08173e-01 
  1.72500e+00   7.44906e-01   1.51490e-01  -1.49234e-01   3.86833e-02  -9.16006e-02 
  1.80000e+00   7.55859e-01   1.40727e-01  -1.37957e-01   3.23607e-02  -7.73690e-02 
  1.87500e+00   7.66035e-01   1.30773e-01  -1.27620e-01   2.70266e-02  -6.51935e-02 
  1.95000e+00   7.75494e-01   1.21563e-01  -1.18134e-01   2.25368e-02  -5.48128e-02 
  2.02500e+00   7.84287e-01   1.13034e-01  -1.09420e-01   1.87657e-02  -4.59906e-02 
  2.10000e+00   7.92464e-01   1.05132e-01  -1.01406e-01   1.56046e-02  -3.85148e-02 
  2.17500e+00   8.00071e-01   9.78072e-02  -9.40298e-02   1.29596e-02  -3.21969e-02 
  2.25000e+00   8.07149e-01   9.10133e-02  -8.72337e-02   1.07502e-02  -2.68710e-02 
  2.32500e+00   8.13735e-01   8.47090e-02  -8.09670e-02   8.90776e-03  -2.23917e-02 
  2.40000e+00   8.19866e-01   7.88562e-02  -7.51837e-02   7.37350e-03  -1.86324e-02 
  2.47500e+00   8.25574e-01   7.34204e-02  -6.98424e-02   6.09765e-03  -1.54836e-02 
  2.55000e+00   8.30889e-01   6.83697e-02  -6.49057e-02   5.03806e-03  -1.28510e-02 
