#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.32305e+00   1.00000e+00  -2.48013e+00 
  7.50000e-02   7.14145e-02   9.06129e-01  -1.18360e+00   8.27589e-01  -2.12364e+00 
  1.50000e-01   1.36162e-01   8.21990e-01  -1.06299e+00   6.80540e-01  -1.80373e+00 
  2.25000e-01   1.94924e-01   7.46283e-01  -9.58307e-01   5.56137e-01  -1.51954e+00 
  3.00000e-01   2.48288e-01   6.77906e-01  -8.67157e-01   4.51747e-01  -1.26980e+00 
  3.75000e-01   2.96769e-01   6.15921e-01  -7.87539e-01   3.64850e-01  -1.05274e+00 
  4.50000e-01   3.40816e-01   5.59529e-01  -7.17784e-01   2.93074e-01  -8.66141e-01 
  5.25000e-01   3.80821e-01   5.08042e-01  -6.56495e-01   2.34231e-01  -7.07452e-01 
  6.00000e-01   4.17130e-01   4.60873e-01  -6.02490e-01   1.86329e-01  -5.73880e-01 
  6.75000e-01   4.50047e-01   4.17512e-01  -5.54770e-01   1.47593e-01  -4.62547e-01 
  7.50000e-01   4.79841e-01   3.77521e-01  -5.12483e-01   1.16462e-01  -3.70602e-01 
  8.25000e-01   5.06750e-01   3.40522e-01  -4.74903e-01   9.15859e-02  -2.95319e-01 
  9.00000e-01   5.30986e-01   3.06184e-01  -4.41405e-01   7.18111e-02  -2.34167e-01 
  9.75000e-01   5.52737e-01   2.74222e-01  -4.11455e-01   5.61652e-02  -1.84854e-01 
  1.05000e+00   5.72172e-01   2.44389e-01  -3.84589e-01   4.38380e-02  -1.45352e-01 
  1.12500e+00   5.89443e-01   2.16467e-01  -3.60406e-01   3.41613e-02  -1.13900e-01 
  1.20000e+00   6.04686e-01   1.90269e-01  -3.38558e-01   2.65895e-02  -8.89923e-02 
  1.27500e+00   6.18023e-01   1.65633e-01  -3.18743e-01   2.06807e-02  -6.93615e-02 
  1.35000e+00   6.29566e-01   1.42414e-01  -3.00697e-01   1.60799e-02  -5.39551e-02 
  1.42500e+00   6.39417e-01   1.20490e-01  -2.84190e-01   1.25036e-02  -4.19082e-02 
  1.50000e+00   6.47669e-01   9.97519e-02  -2.69022e-01   9.72733e-03  -3.25176e-02 
  1.57500e+00   6.54407e-01   8.01073e-02  -2.55015e-01   7.57383e-03  -2.52165e-02 
  1.65000e+00   6.59710e-01   6.14745e-02  -2.42016e-01   5.90402e-03  -1.95519e-02 
  1.72500e+00   6.63652e-01   4.37831e-02  -2.29890e-01   4.60918e-03  -1.51641e-02 
  1.80000e+00   6.66300e-01   2.69721e-02  -2.18519e-01   3.60463e-03  -1.17692e-02 
  1.87500e+00   6.67718e-01   1.09889e-02  -2.07800e-01   2.82458e-03  -9.14442e-03 
  1.95000e+00   6.67968e-01  -4.21187e-03  -1.97642e-01   2.21810e-03  -7.11554e-03 
  2.02500e+00   6.67105e-01  -1.86694e-02  -1.87967e-01   1.74577e-03  -5.54709e-03 
  2.10000e+00   6.65185e-01  -3.24173e-02  -1.78707e-01   1.37717e-03  -4.33393e-03 
  2.17500e+00   6.62260e-01  -4.54844e-02  -1.69803e-01   1.08885e-03  -3.39471e-03 
  2.25000e+00   6.58379e-01  -5.78953e-02  -1.61203e-01   8.62698e-04  -2.66665e-03 
  2.32500e+00   6.53591e-01  -6.96713e-02  -1.52864e-01   6.84788e-04  -2.10134e-03 
  2.40000e+00   6.47943e-01  -8.08305e-02  -1.44749e-01   5.44367e-04  -1.66153e-03 
  2.47500e+00   6.41482e-01  -9.13885e-02  -1.36826e-01   4.33143e-04  -1.31857e-03 
  2.55000e+00   6.34250e-01  -1.01359e-01  -1.29070e-01   3.44714e-04  -1.05043e-03 
  2.62500e+00   6.26292e-01  -1.10753e-01  -1.21458e-01   2.74134e-04  -8.40175e-04 
  2.70000e+00   6.17651e-01  -1.19580e-01  -1.13974e-01   2.17569e-04  -6.74770e-04 
  2.77500e+00   6.08369e-01  -1.27852e-01  -1.06605e-01   1.72049e-04  -5.44191e-04 
  2.85000e+00   5.98487e-01  -1.35574e-01  -9.93394e-02   1.35264e-04  -4.40716e-04 
  2.92500e+00   5.88046e-01  -1.42755e-01  -9.21709e-02   1.05414e-04  -3.58386e-04 
  3.00000e+00   5.77087e-01  -1.49402e-01  -8.50945e-02   8.10937e-05  -2.92599e-04 
  3.07500e+00   5.65649e-01  -1.55521e-01  -7.81081e-02   6.12007e-05  -2.39791e-04 
  3.15000e+00   5.53772e-01  -1.61120e-01  -7.12114e-02   4.48700e-05  -1.97201e-04 
  3.22500e+00   5.41494e-01  -1.66205e-01  -6.44057e-02   3.14191e-05  -1.62682e-04 
  3.30000e+00   5.28854e-01  -1.70783e-01  -5.76940e-02   2.03081e-05  -1.34559e-04 
  3.37500e+00   5.15889e-01  -1.74862e-01  -5.10804e-02   1.11082e-05  -1.11528e-04 
  3.45000e+00   5.02637e-01  -1.78448e-01  -4.45701e-02   3.47750e-06  -9.25632e-05 
  3.52500e+00   4.89134e-01  -1.81550e-01  -3.81690e-02  -2.85770e-06  -7.68620e-05 
  3.60000e+00   4.75416e-01  -1.84176e-01  -3.18838e-02  -8.11743e-06  -6.37904e-05 
  3.67500e+00   4.61519e-01  -1.86336e-01  -2.57215e-02  -1.24794e-05  -5.28475e-05 
  3.75000e+00   4.47477e-01  -1.88038e-01  -1.96893e-02  -1.60878e-05  -4.36362e-05 
  3.82500e+00   4.33325e-01  -1.89293e-01  -1.37949e-02  -1.90602e-05  -3.58403e-05 
  3.90000e+00   4.19095e-01  -1.90111e-01  -8.04567e-03  -2.14929e-05  -2.92074e-05 
  3.97500e+00   4.04819e-01  -1.90503e-01  -2.44894e-03  -2.34652e-05  -2.35350e-05 
  4.05000e+00   3.90529e-01  -1.90482e-01   2.98816e-03  -2.50430e-05  -1.86606e-05 
  4.12500e+00   3.76257e-01  -1.90059e-01   8.25884e-03  -2.62810e-05  -1.44524e-05 
  4.20000e+00   3.62030e-01  -1.89247e-01   1.33567e-02  -2.72249e-05  -1.08041e-05 
  4.27500e+00   3.47879e-01  -1.88060e-01   1.82760e-02  -2.79134e-05  -7.62866e-06 
  4.35000e+00   3.33830e-01  -1.86511e-01   2.30114e-02  -2.83792e-05  -4.85528e-06 
  4.42500e+00   3.19911e-01  -1.84613e-01   2.75582e-02  -2.86503e-05  -2.42569e-06 
  4.50000e+00   3.06147e-01  -1.82382e-01   3.19123e-02  -2.87504e-05  -2.91847e-07 
  4.57500e+00   2.92562e-01  -1.79831e-01   3.60706e-02  -2.87004e-05   1.58605e-06 
  4.65000e+00   2.79180e-01  -1.76976e-01   4.00304e-02  -2.85181e-05   3.24113e-06 
  4.72500e+00   2.66023e-01  -1.73832e-01   4.37900e-02  -2.82191e-05   4.70112e-06 
  4.80000e+00   2.53112e-01  -1.70413e-01   4.73481e-02  -2.78172e-05   5.98934e-06 
  4.87500e+00   2.40467e-01  -1.66734e-01   5.07045e-02  -2.73245e-05   7.12549e-06 
  4.95000e+00   2.28108e-01  -1.62812e-01   5.38595e-02  -2.67518e-05   8.12636e-06 
  5.02500e+00   2.16051e-01  -1.58661e-01   5.68144e-02  -2.61086e-05   9.00629e-06 
  5.10000e+00   2.04314e-01  -1.54295e-01   5.95710e-02  -2.54036e-05   9.77762e-06 
  5.17500e+00   1.92912e-01  -1.49730e-01   6.21318e-02  -2.46444e-05   1.04511e-05 
  5.25000e+00   1.81859e-01  -1.44980e-01   6.45000e-02  -2.38381e-05   1.10359e-05 
  5.32500e+00   1.71169e-01  -1.40059e-01   6.66794e-02  -2.29910e-05   1.15404e-05 
  5.40000e+00   1.60854e-01  -1.34983e-01   6.86745e-02  -2.21089e-05   1.19718e-05 
  5.47500e+00   1.50925e-01  -1.29763e-01   7.04903e-02  -2.11969e-05   1.23364e-05 
  5.55000e+00   1.41393e-01  -1.24413e-01   7.21321e-02  -2.02599e-05   1.26401e-05 
  5.62500e+00   1.32266e-01  -1.18947e-01   7.36061e-02  -1.93023e-05   1.28881e-05 
  5.70000e+00   1.23553e-01  -1.13377e-01   7.49185e-02  -1.83280e-05   1.30851e-05 
  5.77500e+00   1.15262e-01  -1.07713e-01   7.60762e-02  -1.73407e-05   1.32354e-05 
  5.85000e+00   1.07398e-01  -1.01969e-01   7.70863e-02  -1.63438e-05   1.33431e-05 
  5.92500e+00   9.99685e-02  -9.61538e-02   7.79562e-02  -1.53402e-05   1.34117e-05 
  6.00000e+00   9.29769e-02  -9.02787e-02   7.86936e-02  -1.43329e-05   1.34449e-05 
  6.07500e+00   8.64279e-02  -8.43529e-02   7.93064e-02  -1.33243e-05   1.34457e-05 
  6.15000e+00   8.03250e-02  -7.83856e-02   7.98028e-02  -1.23168e-05   1.34173e-05 
  6.22500e+00   7.46709e-02  -7.23852e-02   8.01910e-02  -1.13124e-05   1.33624e-05 
  6.30000e+00   6.94678e-02  -6.63595e-02   8.04793e-02  -1.03130e-05   1.32840e-05 
  6.37500e+00   6.47174e-02  -6.03156e-02   8.06763e-02  -9.32030e-06   1.31845e-05 
  6.45000e+00   6.04208e-02  -5.42601e-02   8.07904e-02  -8.33578e-06   1.30664e-05 
  6.52500e+00   5.65786e-02  -4.81989e-02   8.08301e-02  -7.36073e-06   1.29324e-05 
  6.60000e+00   5.31910e-02  -4.21372e-02   8.08042e-02  -6.39627e-06   1.27845e-05 
  6.67500e+00   5.02579e-02  -3.60797e-02   8.07209e-02  -5.44334e-06   1.26252e-05 
  6.75000e+00   4.77788e-02  -3.00303e-02   8.05890e-02  -4.50272e-06   1.24567e-05 
  6.82500e+00   4.57531e-02  -2.39923e-02   8.04167e-02  -3.57502e-06   1.22810e-05 
  6.90000e+00   4.41796e-02  -1.79686e-02   8.02125e-02  -2.66070e-06   1.21003e-05 
  6.97500e+00   4.30574e-02  -1.19611e-02   7.99848e-02  -1.76005e-06   1.19166e-05 
  7.05000e+00   4.23850e-02  -5.97125e-03   7.97416e-02  -8.73236e-07   1.17319e-05 
  7.12500e+00   4.21612e-02   1.03753e-09   7.94912e-02  -2.45864e-10   1.15482e-05 
