#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31779e+00   1.00000e+00  -3.87178e+00 
  7.50000e-03   7.46308e-03   9.90173e-01  -1.30291e+00   9.71379e-01  -3.76091e+00 
  7.79201e-03   7.75216e-03   9.89792e-01  -1.30233e+00   9.70282e-01  -3.75666e+00 
  8.09538e-03   8.05238e-03   9.89397e-01  -1.30173e+00   9.69143e-01  -3.75225e+00 
  8.41057e-03   8.36416e-03   9.88987e-01  -1.30111e+00   9.67961e-01  -3.74767e+00 
  8.73803e-03   8.68794e-03   9.88561e-01  -1.30047e+00   9.66734e-01  -3.74292e+00 
  9.07824e-03   9.02419e-03   9.88119e-01  -1.29980e+00   9.65462e-01  -3.73799e+00 
  9.43170e-03   9.37336e-03   9.87659e-01  -1.29911e+00   9.64142e-01  -3.73288e+00 
  9.79891e-03   9.73596e-03   9.87182e-01  -1.29839e+00   9.62772e-01  -3.72757e+00 
  1.01804e-02   1.01125e-02   9.86687e-01  -1.29764e+00   9.61351e-01  -3.72207e+00 
  1.05768e-02   1.05035e-02   9.86173e-01  -1.29686e+00   9.59877e-01  -3.71636e+00 
  1.09886e-02   1.09095e-02   9.85639e-01  -1.29605e+00   9.58347e-01  -3.71043e+00 
  1.14164e-02   1.13310e-02   9.85085e-01  -1.29522e+00   9.56761e-01  -3.70429e+00 
  1.18609e-02   1.17688e-02   9.84509e-01  -1.29435e+00   9.55116e-01  -3.69792e+00 
  1.23227e-02   1.22233e-02   9.83912e-01  -1.29345e+00   9.53410e-01  -3.69131e+00 
  1.28025e-02   1.26952e-02   9.83291e-01  -1.29251e+00   9.51641e-01  -3.68446e+00 
  1.33009e-02   1.31852e-02   9.82647e-01  -1.29154e+00   9.49806e-01  -3.67735e+00 
  1.38188e-02   1.36939e-02   9.81979e-01  -1.29053e+00   9.47903e-01  -3.66998e+00 
  1.43568e-02   1.42220e-02   9.81285e-01  -1.28948e+00   9.45931e-01  -3.66234e+00 
  1.49158e-02   1.47703e-02   9.80564e-01  -1.28840e+00   9.43886e-01  -3.65442e+00 
  1.54965e-02   1.53395e-02   9.79816e-01  -1.28727e+00   9.41766e-01  -3.64621e+00 
  1.60999e-02   1.59305e-02   9.79040e-01  -1.28610e+00   9.39569e-01  -3.63770e+00 
  1.67267e-02   1.65439e-02   9.78234e-01  -1.28489e+00   9.37291e-01  -3.62888e+00 
  1.73780e-02   1.71807e-02   9.77398e-01  -1.28363e+00   9.34931e-01  -3.61974e+00 
  1.80546e-02   1.78417e-02   9.76530e-01  -1.28232e+00   9.32485e-01  -3.61027e+00 
  1.87575e-02   1.85279e-02   9.75629e-01  -1.28097e+00   9.29951e-01  -3.60046e+00 
  1.94878e-02   1.92400e-02   9.74694e-01  -1.27956e+00   9.27325e-01  -3.59029e+00 
  2.02466e-02   1.99792e-02   9.73724e-01  -1.27810e+00   9.24605e-01  -3.57976e+00 
  2.10349e-02   2.07464e-02   9.72717e-01  -1.27659e+00   9.21787e-01  -3.56884e+00 
  2.18538e-02   2.15426e-02   9.71672e-01  -1.27502e+00   9.18869e-01  -3.55754e+00 
  2.27047e-02   2.23689e-02   9.70588e-01  -1.27339e+00   9.15847e-01  -3.54584e+00 
  2.35887e-02   2.32264e-02   9.69463e-01  -1.27170e+00   9.12718e-01  -3.53373e+00 
  2.45071e-02   2.41162e-02   9.68296e-01  -1.26995e+00   9.09478e-01  -3.52118e+00 
  2.54613e-02   2.50396e-02   9.67085e-01  -1.26813e+00   9.06125e-01  -3.50820e+00 
  2.64526e-02   2.59976e-02   9.65829e-01  -1.26624e+00   9.02654e-01  -3.49476e+00 
  2.74825e-02   2.69917e-02   9.64526e-01  -1.26429e+00   8.99061e-01  -3.48085e+00 
  2.85525e-02   2.80230e-02   9.63174e-01  -1.26227e+00   8.95345e-01  -3.46646e+00 
  2.96642e-02   2.90930e-02   9.61772e-01  -1.26017e+00   8.91499e-01  -3.45157e+00 
  3.08191e-02   3.02029e-02   9.60318e-01  -1.25799e+00   8.87522e-01  -3.43617e+00 
  3.20191e-02   3.13543e-02   9.58809e-01  -1.25573e+00   8.83408e-01  -3.42024e+00 
  3.32657e-02   3.25486e-02   9.57245e-01  -1.25340e+00   8.79155e-01  -3.40378e+00 
  3.45609e-02   3.37874e-02   9.55624e-01  -1.25097e+00   8.74757e-01  -3.38675e+00 
  3.59065e-02   3.50722e-02   9.53942e-01  -1.24846e+00   8.70212e-01  -3.36916e+00 
  3.73045e-02   3.64045e-02   9.52198e-01  -1.24586e+00   8.65515e-01  -3.35097e+00 
  3.87569e-02   3.77862e-02   9.50391e-01  -1.24316e+00   8.60661e-01  -3.33218e+00 
  4.02659e-02   3.92189e-02   9.48517e-01  -1.24037e+00   8.55648e-01  -3.31278e+00 
  4.18336e-02   4.07044e-02   9.46575e-01  -1.23748e+00   8.50470e-01  -3.29273e+00 
  4.34624e-02   4.22445e-02   9.44562e-01  -1.23448e+00   8.45124e-01  -3.27204e+00 
  4.51545e-02   4.38411e-02   9.42475e-01  -1.23138e+00   8.39605e-01  -3.25068e+00 
  4.69126e-02   4.54961e-02   9.40313e-01  -1.22817e+00   8.33909e-01  -3.22863e+00 
  4.87391e-02   4.72116e-02   9.38073e-01  -1.22484e+00   8.28033e-01  -3.20589e+00 
  5.06367e-02   4.89895e-02   9.35752e-01  -1.22140e+00   8.21972e-01  -3.18243e+00 
  5.26083e-02   5.08320e-02   9.33348e-01  -1.21783e+00   8.15721e-01  -3.15824e+00 
  5.46565e-02   5.27412e-02   9.30857e-01  -1.21415e+00   8.09278e-01  -3.13330e+00 
  5.67845e-02   5.47193e-02   9.28277e-01  -1.21033e+00   8.02638e-01  -3.10761e+00 
  5.89954e-02   5.67686e-02   9.25606e-01  -1.20638e+00   7.95797e-01  -3.08113e+00 
  6.12923e-02   5.88915e-02   9.22840e-01  -1.20230e+00   7.88751e-01  -3.05387e+00 
  6.36787e-02   6.10903e-02   9.19975e-01  -1.19807e+00   7.81497e-01  -3.02579e+00 
  6.61580e-02   6.33676e-02   9.17011e-01  -1.19371e+00   7.74031e-01  -2.99690e+00 
  6.87338e-02   6.57256e-02   9.13942e-01  -1.18919e+00   7.66350e-01  -2.96718e+00 
  7.14099e-02   6.81672e-02   9.10765e-01  -1.18452e+00   7.58450e-01  -2.93662e+00 
  7.41902e-02   7.06948e-02   9.07479e-01  -1.17970e+00   7.50329e-01  -2.90520e+00 
  7.70788e-02   7.33112e-02   9.04078e-01  -1.17471e+00   7.41984e-01  -2.87291e+00 
  8.00798e-02   7.60191e-02   9.00561e-01  -1.16956e+00   7.33412e-01  -2.83975e+00 
  8.31976e-02   7.88212e-02   8.96923e-01  -1.16425e+00   7.24612e-01  -2.80570e+00 
