#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31827e+00   1.00000e+00  -3.64688e+00 
  7.50000e-02   7.14279e-02   9.06488e-01  -1.17878e+00   7.53642e-01  -2.93606e+00 
  1.50000e-01   1.36216e-01   8.22714e-01  -1.05806e+00   5.57451e-01  -2.31067e+00 
  2.25000e-01   1.95046e-01   7.47382e-01  -9.53229e-01   4.04739e-01  -1.77719e+00 
  3.00000e-01   2.48507e-01   6.79393e-01  -8.61878e-01   2.88556e-01  -1.33616e+00 
  3.75000e-01   2.97115e-01   6.17813e-01  -7.82025e-01   2.02125e-01  -9.82595e-01 
  4.50000e-01   3.41319e-01   5.61843e-01  -7.12012e-01   1.39206e-01  -7.07386e-01 
  5.25000e-01   3.81515e-01   5.10800e-01  -6.50447e-01   9.43440e-02  -4.99069e-01 
  6.00000e-01   4.18048e-01   4.64095e-01  -5.96155e-01   6.29786e-02  -3.45456e-01 
  6.75000e-01   4.51225e-01   4.21220e-01  -5.48144e-01   4.14502e-02  -2.34905e-01 
  7.50000e-01   4.81315e-01   3.81737e-01  -5.05567e-01   2.69253e-02  -1.57113e-01 
  8.25000e-01   5.08560e-01   3.45267e-01  -4.67704e-01   1.72804e-02  -1.03493e-01 
  9.00000e-01   5.33173e-01   3.11479e-01  -4.33935e-01   1.09689e-02  -6.72270e-02 
  9.75000e-01   5.55342e-01   2.80088e-01  -4.03729e-01   6.89354e-03  -4.31175e-02 
  1.05000e+00   5.75239e-01   2.50843e-01  -3.76627e-01   4.29387e-03  -2.73385e-02 
  1.12500e+00   5.93017e-01   2.23526e-01  -3.52232e-01   2.65354e-03  -1.71563e-02 
  1.20000e+00   6.08812e-01   1.97949e-01  -3.30199e-01   1.62857e-03  -1.06684e-02 
  1.27500e+00   6.22748e-01   1.73945e-01  -3.10230e-01   9.93615e-04  -6.58099e-03 
  1.35000e+00   6.34939e-01   1.51369e-01  -2.92062e-01   6.03218e-04  -4.03144e-03 
  1.42500e+00   6.45486e-01   1.30096e-01  -2.75469e-01   3.64734e-04  -2.45503e-03 
  1.50000e+00   6.54483e-01   1.10014e-01  -2.60251e-01   2.19844e-04  -1.48770e-03 
  1.57500e+00   6.62016e-01   9.10283e-02  -2.46234e-01   1.32211e-04  -8.97935e-04 
  1.65000e+00   6.68163e-01   7.30532e-02  -2.33266e-01   7.93951e-05  -5.40317e-04 
