#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28221e+00   1.00000e+00   1.88785e+00 
  7.50000e-02   7.15295e-02   9.09200e-01  -1.14243e+00   1.10677e+00   9.51688e-01 
  1.50000e-01   1.36624e-01   8.28179e-01  -1.02093e+00   1.14342e+00   4.09081e-02 
  2.25000e-01   1.95969e-01   7.55674e-01  -9.14899e-01   1.11647e+00  -7.29107e-01 
  3.00000e-01   2.50161e-01   6.90615e-01  -8.22024e-01   1.03925e+00  -1.29313e+00 
  3.75000e-01   2.99725e-01   6.32090e-01  -7.40387e-01   9.28102e-01  -1.63430e+00 
  4.50000e-01   3.45119e-01   5.79317e-01  -6.68390e-01   7.99191e-01  -1.77257e+00 
  5.25000e-01   3.86749e-01   5.31624e-01  -6.04696e-01   6.66255e-01  -1.74958e+00 
  6.00000e-01   4.24975e-01   4.88433e-01  -5.48179e-01   5.39548e-01  -1.61474e+00 
  6.75000e-01   4.60114e-01   4.49242e-01  -4.97890e-01   4.25660e-01  -1.41497e+00 
  7.50000e-01   4.92450e-01   4.13614e-01  -4.53024e-01   3.27954e-01  -1.18880e+00 
  8.25000e-01   5.22236e-01   3.81170e-01  -4.12893e-01   2.47294e-01  -9.64126e-01 
  9.00000e-01   5.49697e-01   3.51576e-01  -3.76912e-01   1.82849e-01  -7.58583e-01 
  9.75000e-01   5.75036e-01   3.24542e-01  -3.44578e-01   1.32795e-01  -5.81303e-01 
  1.05000e+00   5.98436e-01   2.99809e-01  -3.15458e-01   9.48713e-02  -4.35195e-01 
  1.12500e+00   6.20059e-01   2.77152e-01  -2.89179e-01   6.67633e-02  -3.19121e-01 
  1.20000e+00   6.40055e-01   2.56370e-01  -2.65418e-01   4.63362e-02  -2.29694e-01 
  1.27500e+00   6.58557e-01   2.37284e-01  -2.43892e-01   3.17514e-02  -1.62578e-01 
  1.35000e+00   6.75686e-01   2.19736e-01  -2.24358e-01   2.15029e-02  -1.13339e-01 
  1.42500e+00   6.91552e-01   2.03586e-01  -2.06601e-01   1.44053e-02  -7.79297e-02 
  1.50000e+00   7.06256e-01   1.88706e-01  -1.90434e-01   9.55420e-03  -5.29127e-02 
  1.57500e+00   7.19887e-01   1.74985e-01  -1.75692e-01   6.27838e-03  -3.55156e-02 
  1.65000e+00   7.32530e-01   1.62320e-01  -1.62231e-01   4.09055e-03  -2.35886e-02 
  1.72500e+00   7.44260e-01   1.50621e-01  -1.49922e-01   2.64409e-03  -1.55161e-02 
  1.80000e+00   7.55145e-01   1.39806e-01  -1.38652e-01   1.69661e-03  -1.01158e-02 
  1.87500e+00   7.65251e-01   1.29800e-01  -1.28321e-01   1.08128e-03  -6.54129e-03 
  1.95000e+00   7.74634e-01   1.20537e-01  -1.18840e-01   6.84789e-04  -4.19806e-03 
  2.02500e+00   7.83348e-01   1.11955e-01  -1.10129e-01   4.31160e-04  -2.67554e-03 
  2.10000e+00   7.91443e-01   1.04000e-01  -1.02117e-01   2.70002e-04  -1.69427e-03 
  2.17500e+00   7.98963e-01   9.66214e-02  -9.47413e-02   1.68233e-04  -1.06653e-03 
  2.25000e+00   8.05949e-01   8.97742e-02  -8.79444e-02   1.04335e-04  -6.67692e-04 
  2.32500e+00   8.12441e-01   8.34166e-02  -8.16755e-02   6.44272e-05  -4.15884e-04 
  2.40000e+00   8.18473e-01   7.75108e-02  -7.58889e-02   3.96243e-05  -2.57824e-04 
  2.47500e+00   8.24078e-01   7.20222e-02  -7.05431e-02   2.42792e-05  -1.59141e-04 
  2.55000e+00   8.29286e-01   6.69192e-02  -6.56010e-02   1.48253e-05  -9.78334e-05 
  2.62500e+00   8.34125e-01   6.21728e-02  -6.10287e-02   9.02358e-06  -5.99192e-05 
  2.70000e+00   8.38620e-01   5.77565e-02  -5.67958e-02   5.47597e-06  -3.65710e-05 
  2.77500e+00   8.42796e-01   5.36457e-02  -5.28747e-02   3.31396e-06  -2.22491e-05 
  2.85000e+00   8.46674e-01   4.98181e-02  -4.92401e-02   2.00047e-06  -1.34955e-05 
  2.92500e+00   8.50275e-01   4.62531e-02  -4.58693e-02   1.20477e-06  -8.16333e-06 
  3.00000e+00   8.53618e-01   4.29316e-02  -4.27415e-02   7.24027e-07  -4.92528e-06 
  3.07500e+00   8.56721e-01   3.98363e-02  -3.98376e-02   4.34297e-07  -2.96457e-06 
  3.15000e+00   8.59599e-01   3.69508e-02  -3.71404e-02   2.60085e-07  -1.78047e-06 
  3.22500e+00   8.62268e-01   3.42604e-02  -3.46341e-02   1.55555e-07  -1.06714e-06 
  3.30000e+00   8.64742e-01   3.17513e-02  -3.23041e-02   9.29591e-08  -6.38390e-07 
  3.37500e+00   8.67035e-01   2.94107e-02  -3.01372e-02   5.55429e-08  -3.81234e-07 
  3.45000e+00   8.69158e-01   2.72269e-02  -2.81212e-02   3.32154e-08  -2.27298e-07 
  3.52500e+00   8.71123e-01   2.51891e-02  -2.62450e-02   1.99126e-08  -1.35318e-07 
  3.60000e+00   8.72940e-01   2.32870e-02  -2.44982e-02   1.19980e-08  -8.04496e-08 
  3.67500e+00   8.74619e-01   2.15113e-02  -2.28714e-02   7.29529e-09  -4.77697e-08 
  3.75000e+00   8.76169e-01   1.98535e-02  -2.13560e-02   4.50437e-09  -2.83336e-08 
  3.82500e+00   8.77600e-01   1.83053e-02  -1.99439e-02   2.84977e-09  -1.67891e-08 
  3.90000e+00   8.78918e-01   1.68595e-02  -1.86277e-02   1.86970e-09  -9.94030e-09 
  3.97500e+00   8.80131e-01   1.55090e-02  -1.74006e-02   1.28962e-09  -5.88159e-09 
  4.05000e+00   8.81246e-01   1.42473e-02  -1.62563e-02   9.46453e-10  -3.47873e-09 
  4.12500e+00   8.82270e-01   1.30686e-02  -1.51890e-02   7.43496e-10  -2.05741e-09 
  4.20000e+00   8.83209e-01   1.19672e-02  -1.41932e-02   6.23445e-10  -1.21730e-09 
  4.27500e+00   8.84067e-01   1.09379e-02  -1.32641e-02   5.52385e-10  -7.21014e-10 
  4.35000e+00   8.84851e-01   9.97603e-03  -1.23969e-02   5.10260e-10  -4.27946e-10 
  4.42500e+00   8.85565e-01   9.07696e-03  -1.15874e-02   4.85221e-10  -2.54891e-10 
  4.50000e+00   8.86214e-01   8.23657e-03  -1.08317e-02   4.70273e-10  -1.52668e-10 
  4.57500e+00   8.86802e-01   7.45095e-03  -1.01260e-02   4.61287e-10  -9.22243e-11 
  4.65000e+00   8.87333e-01   6.71650e-03  -9.46699e-03   4.55829e-10  -5.64159e-11 
  4.72500e+00   8.87811e-01   6.02982e-03  -8.85142e-03   4.52465e-10  -3.51304e-11 
  4.80000e+00   8.88238e-01   5.38777e-03  -8.27638e-03   4.50348e-10  -2.24072e-11 
  4.87500e+00   8.88620e-01   4.78742e-03  -7.73912e-03   4.48979e-10  -1.47350e-11 
  4.95000e+00   8.88958e-01   4.22602e-03  -7.23711e-03   4.48064e-10  -1.00458e-11 
  5.02500e+00   8.89255e-01   3.70103e-03  -6.76798e-03   4.47428e-10  -7.12210e-12 
  5.10000e+00   8.89514e-01   3.21006e-03  -6.32953e-03   4.46969e-10  -5.24697e-12 
  5.17500e+00   8.89737e-01   2.75089e-03  -5.91970e-03   4.46626e-10  -3.99828e-12 
  5.25000e+00   8.89927e-01   2.32144e-03  -5.53660e-03   4.46360e-10  -3.12722e-12 
