#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.30127e+00   1.00000e+00   6.02130e+01 
  7.50000e-03   7.46354e-03   9.90296e-01  -1.28638e+00   1.45169e+00   6.02387e+01 
  7.79201e-03   7.75266e-03   9.89921e-01  -1.28581e+00   1.46928e+00   6.02399e+01 
  8.09538e-03   8.05292e-03   9.89531e-01  -1.28521e+00   1.48756e+00   6.02411e+01 
  8.41057e-03   8.36474e-03   9.89126e-01  -1.28459e+00   1.50654e+00   6.02423e+01 
  8.73803e-03   8.68858e-03   9.88705e-01  -1.28395e+00   1.52627e+00   6.02436e+01 
  9.07824e-03   9.02487e-03   9.88269e-01  -1.28328e+00   1.54677e+00   6.02450e+01 
  9.43170e-03   9.37410e-03   9.87815e-01  -1.28258e+00   1.56806e+00   6.02464e+01 
  9.79891e-03   9.73675e-03   9.87344e-01  -1.28186e+00   1.59018e+00   6.02479e+01 
  1.01804e-02   1.01133e-02   9.86855e-01  -1.28111e+00   1.61317e+00   6.02495e+01 
  1.05768e-02   1.05044e-02   9.86348e-01  -1.28034e+00   1.63705e+00   6.02512e+01 
  1.09886e-02   1.09105e-02   9.85821e-01  -1.27953e+00   1.66186e+00   6.02529e+01 
  1.14164e-02   1.13321e-02   9.85273e-01  -1.27869e+00   1.68764e+00   6.02547e+01 
  1.18609e-02   1.17699e-02   9.84705e-01  -1.27782e+00   1.71442e+00   6.02567e+01 
  1.23227e-02   1.22245e-02   9.84115e-01  -1.27692e+00   1.74225e+00   6.02587e+01 
  1.28025e-02   1.26965e-02   9.83503e-01  -1.27599e+00   1.77116e+00   6.02608e+01 
  1.33009e-02   1.31866e-02   9.82867e-01  -1.27501e+00   1.80120e+00   6.02631e+01 
  1.38188e-02   1.36954e-02   9.82207e-01  -1.27400e+00   1.83241e+00   6.02654e+01 
  1.43568e-02   1.42237e-02   9.81522e-01  -1.27296e+00   1.86483e+00   6.02679e+01 
  1.49158e-02   1.47722e-02   9.80811e-01  -1.27187e+00   1.89852e+00   6.02705e+01 
  1.54965e-02   1.53415e-02   9.80072e-01  -1.27074e+00   1.93353e+00   6.02732e+01 
