#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28221e+00   1.00000e+00  -1.30849e+00 
  7.50000e-03   7.46408e-03   9.90439e-01  -1.26732e+00   9.90048e-01  -1.34525e+00 
  7.79201e-03   7.75324e-03   9.90069e-01  -1.26674e+00   9.89654e-01  -1.34666e+00 
  8.09538e-03   8.05354e-03   9.89685e-01  -1.26615e+00   9.89246e-01  -1.34811e+00 
  8.41057e-03   8.36542e-03   9.89286e-01  -1.26553e+00   9.88821e-01  -1.34962e+00 
  8.73803e-03   8.68930e-03   9.88872e-01  -1.26488e+00   9.88378e-01  -1.35118e+00 
  9.07824e-03   9.02565e-03   9.88442e-01  -1.26421e+00   9.87918e-01  -1.35280e+00 
  9.43170e-03   9.37494e-03   9.87995e-01  -1.26352e+00   9.87440e-01  -1.35448e+00 
  9.79891e-03   9.73767e-03   9.87531e-01  -1.26280e+00   9.86942e-01  -1.35622e+00 
  1.01804e-02   1.01143e-02   9.87050e-01  -1.26205e+00   9.86425e-01  -1.35803e+00 
  1.05768e-02   1.05055e-02   9.86549e-01  -1.26127e+00   9.85886e-01  -1.35990e+00 
  1.09886e-02   1.09116e-02   9.86030e-01  -1.26046e+00   9.85325e-01  -1.36185e+00 
  1.14164e-02   1.13334e-02   9.85491e-01  -1.25963e+00   9.84742e-01  -1.36386e+00 
  1.18609e-02   1.17713e-02   9.84931e-01  -1.25876e+00   9.84136e-01  -1.36594e+00 
  1.23227e-02   1.22260e-02   9.84350e-01  -1.25786e+00   9.83504e-01  -1.36810e+00 
  1.28025e-02   1.26981e-02   9.83747e-01  -1.25692e+00   9.82847e-01  -1.37034e+00 
  1.33009e-02   1.31883e-02   9.83121e-01  -1.25595e+00   9.82164e-01  -1.37266e+00 
  1.38188e-02   1.36973e-02   9.82471e-01  -1.25494e+00   9.81452e-01  -1.37507e+00 
  1.43568e-02   1.42257e-02   9.81796e-01  -1.25389e+00   9.80712e-01  -1.37755e+00 
  1.49158e-02   1.47743e-02   9.81095e-01  -1.25280e+00   9.79941e-01  -1.38013e+00 
  1.54965e-02   1.53438e-02   9.80368e-01  -1.25167e+00   9.79139e-01  -1.38280e+00 
  1.60999e-02   1.59351e-02   9.79613e-01  -1.25050e+00   9.78304e-01  -1.38556e+00 
  1.67267e-02   1.65489e-02   9.78830e-01  -1.24929e+00   9.77434e-01  -1.38842e+00 
  1.73780e-02   1.71861e-02   9.78016e-01  -1.24803e+00   9.76529e-01  -1.39138e+00 
  1.80546e-02   1.78475e-02   9.77172e-01  -1.24672e+00   9.75587e-01  -1.39445e+00 
  1.87575e-02   1.85341e-02   9.76297e-01  -1.24536e+00   9.74605e-01  -1.39762e+00 
  1.94878e-02   1.92468e-02   9.75388e-01  -1.24396e+00   9.73583e-01  -1.40089e+00 
  2.02466e-02   1.99865e-02   9.74444e-01  -1.24249e+00   9.72519e-01  -1.40428e+00 
  2.10349e-02   2.07543e-02   9.73465e-01  -1.24098e+00   9.71411e-01  -1.40779e+00 
  2.18538e-02   2.15511e-02   9.72450e-01  -1.23941e+00   9.70256e-01  -1.41141e+00 
  2.27047e-02   2.23781e-02   9.71396e-01  -1.23778e+00   9.69054e-01  -1.41516e+00 
  2.35887e-02   2.32363e-02   9.70302e-01  -1.23608e+00   9.67801e-01  -1.41903e+00 
  2.45071e-02   2.41269e-02   9.69168e-01  -1.23433e+00   9.66496e-01  -1.42303e+00 
  2.54613e-02   2.50511e-02   9.67991e-01  -1.23251e+00   9.65136e-01  -1.42715e+00 
  2.64526e-02   2.60101e-02   9.66770e-01  -1.23062e+00   9.63720e-01  -1.43142e+00 
  2.74825e-02   2.70051e-02   9.65504e-01  -1.22867e+00   9.62243e-01  -1.43582e+00 
  2.85525e-02   2.80375e-02   9.64190e-01  -1.22664e+00   9.60704e-01  -1.44036e+00 
  2.96642e-02   2.91086e-02   9.62828e-01  -1.22454e+00   9.59100e-01  -1.44504e+00 
  3.08191e-02   3.02198e-02   9.61415e-01  -1.22236e+00   9.57429e-01  -1.44987e+00 
  3.20191e-02   3.13726e-02   9.59949e-01  -1.22010e+00   9.55686e-01  -1.45484e+00 
  3.32657e-02   3.25683e-02   9.58430e-01  -1.21775e+00   9.53869e-01  -1.45997e+00 
  3.45609e-02   3.38087e-02   9.56854e-01  -1.21533e+00   9.51975e-01  -1.46525e+00 
  3.59065e-02   3.50951e-02   9.55220e-01  -1.21281e+00   9.49999e-01  -1.47069e+00 
  3.73045e-02   3.64293e-02   9.53527e-01  -1.21020e+00   9.47940e-01  -1.47628e+00 
  3.87569e-02   3.78130e-02   9.51771e-01  -1.20750e+00   9.45791e-01  -1.48204e+00 
  4.02659e-02   3.92478e-02   9.49951e-01  -1.20470e+00   9.43550e-01  -1.48795e+00 
  4.18336e-02   4.07356e-02   9.48065e-01  -1.20180e+00   9.41213e-01  -1.49402e+00 
  4.34624e-02   4.22781e-02   9.46110e-01  -1.19880e+00   9.38774e-01  -1.50026e+00 
  4.51545e-02   4.38774e-02   9.44084e-01  -1.19569e+00   9.36230e-01  -1.50666e+00 
  4.69126e-02   4.55353e-02   9.41984e-01  -1.19247e+00   9.33576e-01  -1.51323e+00 
  4.87391e-02   4.72539e-02   9.39809e-01  -1.18914e+00   9.30806e-01  -1.51995e+00 
  5.06367e-02   4.90351e-02   9.37556e-01  -1.18568e+00   9.27915e-01  -1.52684e+00 
  5.26083e-02   5.08812e-02   9.35222e-01  -1.18211e+00   9.24898e-01  -1.53388e+00 
  5.46565e-02   5.27944e-02   9.32805e-01  -1.17841e+00   9.21748e-01  -1.54108e+00 
  5.67845e-02   5.47767e-02   9.30301e-01  -1.17458e+00   9.18461e-01  -1.54843e+00 
  5.89954e-02   5.68306e-02   9.27709e-01  -1.17062e+00   9.15029e-01  -1.55593e+00 
  6.12923e-02   5.89584e-02   9.25024e-01  -1.16652e+00   9.11447e-01  -1.56357e+00 
  6.36787e-02   6.11626e-02   9.22246e-01  -1.16228e+00   9.07706e-01  -1.57135e+00 
  6.61580e-02   6.34455e-02   9.19370e-01  -1.15790e+00   9.03800e-01  -1.57926e+00 
  6.87338e-02   6.58098e-02   9.16393e-01  -1.15337e+00   8.99722e-01  -1.58728e+00 
  7.14099e-02   6.82580e-02   9.13313e-01  -1.14868e+00   8.95464e-01  -1.59541e+00 
  7.41902e-02   7.07929e-02   9.10126e-01  -1.14384e+00   8.91016e-01  -1.60364e+00 
  7.70788e-02   7.34171e-02   9.06829e-01  -1.13883e+00   8.86372e-01  -1.61195e+00 
  8.00798e-02   7.61333e-02   9.03419e-01  -1.13366e+00   8.81522e-01  -1.62033e+00 
  8.31976e-02   7.89446e-02   8.99893e-01  -1.12832e+00   8.76457e-01  -1.62876e+00 
  8.64369e-02   8.18536e-02   8.96247e-01  -1.12280e+00   8.71167e-01  -1.63722e+00 
  8.98022e-02   8.48635e-02   8.92478e-01  -1.11710e+00   8.65643e-01  -1.64568e+00 
  9.32986e-02   8.79771e-02   8.88582e-01  -1.11122e+00   8.59874e-01  -1.65413e+00 
  9.69311e-02   9.11976e-02   8.84557e-01  -1.10515e+00   8.53850e-01  -1.66253e+00 
  1.00705e-01   9.45280e-02   8.80398e-01  -1.09888e+00   8.47560e-01  -1.67085e+00 
  1.04626e-01   9.79715e-02   8.76102e-01  -1.09242e+00   8.40992e-01  -1.67907e+00 
  1.08700e-01   1.01531e-01   8.71665e-01  -1.08576e+00   8.34136e-01  -1.68714e+00 
  1.12932e-01   1.05211e-01   8.67085e-01  -1.07889e+00   8.26979e-01  -1.69502e+00 
  1.17329e-01   1.09013e-01   8.62357e-01  -1.07181e+00   8.19509e-01  -1.70267e+00 
  1.21897e-01   1.12941e-01   8.57477e-01  -1.06451e+00   8.11714e-01  -1.71003e+00 
  1.26643e-01   1.16998e-01   8.52443e-01  -1.05699e+00   8.03581e-01  -1.71707e+00 
  1.31573e-01   1.21189e-01   8.47250e-01  -1.04925e+00   7.95098e-01  -1.72371e+00 
  1.36696e-01   1.25515e-01   8.41896e-01  -1.04128e+00   7.86252e-01  -1.72991e+00 
  1.42018e-01   1.29981e-01   8.36376e-01  -1.03308e+00   7.77030e-01  -1.73558e+00 
  1.47548e-01   1.34590e-01   8.30687e-01  -1.02465e+00   7.67419e-01  -1.74066e+00 
  1.53292e-01   1.39345e-01   8.24826e-01  -1.01597e+00   7.57406e-01  -1.74507e+00 
  1.59261e-01   1.44250e-01   8.18789e-01  -1.00705e+00   7.46980e-01  -1.74873e+00 
  1.65461e-01   1.49308e-01   8.12573e-01  -9.97889e-01   7.36127e-01  -1.75156e+00 
  1.71903e-01   1.54522e-01   8.06175e-01  -9.88477e-01   7.24836e-01  -1.75345e+00 
  1.78596e-01   1.59896e-01   7.99591e-01  -9.78813e-01   7.13097e-01  -1.75431e+00 
  1.85550e-01   1.65432e-01   7.92819e-01  -9.68896e-01   7.00899e-01  -1.75404e+00 
  1.92774e-01   1.71134e-01   7.85857e-01  -9.58722e-01   6.88232e-01  -1.75253e+00 
  2.00280e-01   1.77006e-01   7.78700e-01  -9.48290e-01   6.75088e-01  -1.74966e+00 
  2.08078e-01   1.83049e-01   7.71347e-01  -9.37599e-01   6.61461e-01  -1.74532e+00 
  2.16179e-01   1.89267e-01   7.63796e-01  -9.26647e-01   6.47344e-01  -1.73939e+00 
  2.24596e-01   1.95663e-01   7.56044e-01  -9.15434e-01   6.32736e-01  -1.73174e+00 
  2.33340e-01   2.02240e-01   7.48089e-01  -9.03960e-01   6.17633e-01  -1.72225e+00 
  2.42425e-01   2.08999e-01   7.39930e-01  -8.92224e-01   6.02037e-01  -1.71079e+00 
  2.51864e-01   2.15943e-01   7.31566e-01  -8.80229e-01   5.85952e-01  -1.69724e+00 
  2.61670e-01   2.23075e-01   7.22994e-01  -8.67974e-01   5.69385e-01  -1.68147e+00 
  2.71858e-01   2.30396e-01   7.14215e-01  -8.55461e-01   5.52345e-01  -1.66336e+00 
  2.82442e-01   2.37908e-01   7.05229e-01  -8.42694e-01   5.34846e-01  -1.64281e+00 
  2.93439e-01   2.45613e-01   6.96033e-01  -8.29675e-01   5.16906e-01  -1.61969e+00 
  3.04864e-01   2.53511e-01   6.86631e-01  -8.16408e-01   4.98547e-01  -1.59393e+00 
  3.16734e-01   2.61604e-01   6.77021e-01  -8.02897e-01   4.79795e-01  -1.56543e+00 
  3.29065e-01   2.69892e-01   6.67204e-01  -7.89147e-01   4.60682e-01  -1.53412e+00 
