#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.28192e+00   1.00000e+00  -1.15028e+00 
  7.50000e-02   7.15303e-02   9.09222e-01  -1.14214e+00   9.03861e-01  -1.39449e+00 
  1.50000e-01   1.36628e-01   8.28223e-01  -1.02063e+00   7.93725e-01  -1.52337e+00 
  2.25000e-01   1.95977e-01   7.55741e-01  -9.14589e-01   6.78073e-01  -1.54396e+00 
  3.00000e-01   2.50175e-01   6.90706e-01  -8.21701e-01   5.64359e-01  -1.47561e+00 
  3.75000e-01   2.99746e-01   6.32205e-01  -7.40050e-01   4.58319e-01  -1.34376e+00 
  4.50000e-01   3.45149e-01   5.79458e-01  -6.68037e-01   3.63729e-01  -1.17447e+00 
  5.25000e-01   3.86791e-01   5.31793e-01  -6.04325e-01   2.82509e-01  -9.90593e-01 
  6.00000e-01   4.25031e-01   4.88630e-01  -5.47790e-01   2.15060e-01  -8.09719e-01 
  6.75000e-01   4.60186e-01   4.49469e-01  -4.97482e-01   1.60677e-01  -6.43666e-01 
  7.50000e-01   4.92540e-01   4.13872e-01  -4.52596e-01   1.17971e-01  -4.99029e-01 
  8.25000e-01   5.22346e-01   3.81461e-01  -4.12446e-01   8.52230e-02  -3.78263e-01 
  9.00000e-01   5.49830e-01   3.51902e-01  -3.76446e-01   6.06445e-02  -2.80920e-01 
  9.75000e-01   5.75195e-01   3.24903e-01  -3.44093e-01   4.25541e-02  -2.04783e-01 
  1.05000e+00   5.98623e-01   3.00207e-01  -3.14956e-01   2.94738e-02  -1.46768e-01 
  1.12500e+00   6.20278e-01   2.77588e-01  -2.88660e-01   2.01686e-02  -1.03568e-01 
  1.20000e+00   6.40309e-01   2.56845e-01  -2.64882e-01   1.36469e-02  -7.20501e-02 
  1.27500e+00   6.58848e-01   2.37800e-01  -2.43341e-01   9.13802e-03  -4.94724e-02 
  1.35000e+00   6.76017e-01   2.20294e-01  -2.23792e-01   6.05971e-03  -3.35632e-02 
  1.42500e+00   6.91927e-01   2.04187e-01  -2.06022e-01   3.98227e-03  -2.25190e-02 
  1.50000e+00   7.06677e-01   1.89351e-01  -1.89843e-01   2.59515e-03  -1.49552e-02 
  1.57500e+00   7.20358e-01   1.75675e-01  -1.75091e-01   1.67805e-03  -9.83856e-03 
  1.65000e+00   7.33055e-01   1.63056e-01  -1.61620e-01   1.07719e-03  -6.41624e-03 
  1.72500e+00   7.44841e-01   1.51403e-01  -1.49303e-01   6.86823e-04  -4.15070e-03 
  1.80000e+00   7.55787e-01   1.40634e-01  -1.38027e-01   4.35180e-04  -2.66511e-03 
  1.87500e+00   7.65956e-01   1.30675e-01  -1.27690e-01   2.74127e-04  -1.69942e-03 
  1.95000e+00   7.75407e-01   1.21459e-01  -1.18205e-01   1.71740e-04  -1.07671e-03 
  2.02500e+00   7.84192e-01   1.12925e-01  -1.09491e-01   1.07051e-04  -6.78122e-04 
  2.10000e+00   7.92361e-01   1.05018e-01  -1.01478e-01   6.64141e-05  -4.24735e-04 
  2.17500e+00   7.99960e-01   9.76879e-02  -9.41014e-02   4.10226e-05  -2.64667e-04 
  2.25000e+00   8.07028e-01   9.08886e-02  -8.73053e-02   2.52353e-05  -1.64139e-04 
  2.32500e+00   8.13605e-01   8.45789e-02  -8.10384e-02   1.54647e-05  -1.01345e-04 
  2.40000e+00   8.19726e-01   7.87207e-02  -7.52548e-02   9.44358e-06  -6.23169e-05 
  2.47500e+00   8.25424e-01   7.32796e-02  -6.99130e-02   5.74776e-06  -3.81723e-05 
  2.55000e+00   8.30728e-01   6.82237e-02  -6.49758e-02   3.48763e-06  -2.32995e-05 
  2.62500e+00   8.35666e-01   6.35240e-02  -6.04094e-02   2.11022e-06  -1.41745e-05 
  2.70000e+00   8.40264e-01   5.91538e-02  -5.61832e-02   1.27346e-06  -8.59672e-06 
  2.77500e+00   8.44547e-01   5.50887e-02  -5.22695e-02   7.66639e-07  -5.19893e-06 
  2.85000e+00   8.48535e-01   5.13062e-02  -4.86432e-02   4.60515e-07  -3.13573e-06 
  2.92500e+00   8.52249e-01   4.77856e-02  -4.52812e-02   2.76090e-07  -1.88663e-06 
  3.00000e+00   8.55709e-01   4.45079e-02  -4.21629e-02   1.65248e-07  -1.13248e-06 
  3.07500e+00   8.58931e-01   4.14555e-02  -3.92690e-02   9.87789e-08  -6.78337e-07 
  3.15000e+00   8.61932e-01   3.86124e-02  -3.65824e-02   5.90022e-08  -4.05501e-07 
  3.22500e+00   8.64728e-01   3.59634e-02  -3.40870e-02   3.52447e-08  -2.41953e-07 
  3.30000e+00   8.67331e-01   3.34949e-02  -3.17683e-02   2.10804e-08  -1.44118e-07 
  3.37500e+00   8.69756e-01   3.11941e-02  -2.96131e-02   1.26498e-08  -8.57063e-08 
  3.45000e+00   8.72014e-01   2.90492e-02  -2.76091e-02   7.63967e-09  -5.08935e-08 
  3.52500e+00   8.74117e-01   2.70492e-02  -2.57450e-02   4.66644e-09  -3.01796e-08 
  3.60000e+00   8.76075e-01   2.51842e-02  -2.40107e-02   2.90436e-09  -1.78738e-08 
  3.67500e+00   8.77898e-01   2.34446e-02  -2.23965e-02   1.86133e-09  -1.05737e-08 
  3.75000e+00   8.79595e-01   2.18219e-02  -2.08937e-02   1.24460e-09  -6.24883e-09 
  3.82500e+00   8.81174e-01   2.03080e-02  -1.94943e-02   8.80278e-10  -3.68968e-09 
  3.90000e+00   8.82643e-01   1.88954e-02  -1.81909e-02   6.65234e-10  -2.17707e-09 
  3.97500e+00   8.84011e-01   1.75771e-02  -1.69766e-02   5.38379e-10  -1.28396e-09 
  4.05000e+00   8.85282e-01   1.63468e-02  -1.58451e-02   4.63572e-10  -7.57100e-10 
  4.12500e+00   8.86465e-01   1.51984e-02  -1.47905e-02   4.19458e-10  -4.46557e-10 
  4.20000e+00   8.87564e-01   1.41264e-02  -1.38074e-02   3.93428e-10  -2.63640e-10 
  4.27500e+00   8.88585e-01   1.31257e-02  -1.28907e-02   3.78049e-10  -1.55953e-10 
  4.35000e+00   8.89534e-01   1.21913e-02  -1.20360e-02   3.68938e-10  -9.25731e-11 
  4.42500e+00   8.90416e-01   1.13188e-02  -1.12388e-02   3.63517e-10  -5.52681e-11 
  4.50000e+00   8.91234e-01   1.05041e-02  -1.04952e-02   3.60268e-10  -3.32988e-11 
