#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31779e+00   1.00000e+00  -7.58666e-01 
  7.50000e-03   7.46308e-03   9.90173e-01  -1.30291e+00   9.94338e-01  -7.51203e-01 
  7.79201e-03   7.75216e-03   9.89792e-01  -1.30233e+00   9.94119e-01  -7.50914e-01 
  8.09538e-03   8.05238e-03   9.89397e-01  -1.30173e+00   9.93891e-01  -7.50614e-01 
  8.41057e-03   8.36416e-03   9.88987e-01  -1.30111e+00   9.93654e-01  -7.50302e-01 
  8.73803e-03   8.68794e-03   9.88561e-01  -1.30047e+00   9.93409e-01  -7.49978e-01 
  9.07824e-03   9.02419e-03   9.88119e-01  -1.29980e+00   9.93154e-01  -7.49642e-01 
  9.43170e-03   9.37336e-03   9.87659e-01  -1.29911e+00   9.92889e-01  -7.49293e-01 
  9.79891e-03   9.73596e-03   9.87182e-01  -1.29839e+00   9.92614e-01  -7.48930e-01 
  1.01804e-02   1.01125e-02   9.86687e-01  -1.29764e+00   9.92328e-01  -7.48554e-01 
  1.05768e-02   1.05035e-02   9.86173e-01  -1.29686e+00   9.92031e-01  -7.48163e-01 
  1.09886e-02   1.09095e-02   9.85639e-01  -1.29605e+00   9.91723e-01  -7.47757e-01 
  1.14164e-02   1.13310e-02   9.85085e-01  -1.29522e+00   9.91404e-01  -7.47335e-01 
  1.18609e-02   1.17688e-02   9.84509e-01  -1.29435e+00   9.91071e-01  -7.46897e-01 
  1.23227e-02   1.22233e-02   9.83912e-01  -1.29345e+00   9.90727e-01  -7.46443e-01 
  1.28025e-02   1.26952e-02   9.83291e-01  -1.29251e+00   9.90369e-01  -7.45971e-01 
  1.33009e-02   1.31852e-02   9.82647e-01  -1.29154e+00   9.89997e-01  -7.45481e-01 
  1.38188e-02   1.36939e-02   9.81979e-01  -1.29053e+00   9.89611e-01  -7.44972e-01 
  1.43568e-02   1.42220e-02   9.81285e-01  -1.28948e+00   9.89210e-01  -7.44444e-01 
  1.49158e-02   1.47703e-02   9.80564e-01  -1.28840e+00   9.88794e-01  -7.43896e-01 
  1.54965e-02   1.53395e-02   9.79816e-01  -1.28727e+00   9.88363e-01  -7.43327e-01 
  1.60999e-02   1.59305e-02   9.79040e-01  -1.28610e+00   9.87914e-01  -7.42736e-01 
  1.67267e-02   1.65439e-02   9.78234e-01  -1.28489e+00   9.87449e-01  -7.42122e-01 
  1.73780e-02   1.71807e-02   9.77398e-01  -1.28363e+00   9.86966e-01  -7.41485e-01 
  1.80546e-02   1.78417e-02   9.76530e-01  -1.28232e+00   9.86464e-01  -7.40824e-01 
  1.87575e-02   1.85279e-02   9.75629e-01  -1.28097e+00   9.85944e-01  -7.40138e-01 
