#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31827e+00   1.00000e+00  -1.50330e+00 
  7.50000e-02   7.14279e-02   9.06488e-01  -1.17878e+00   8.87766e-01  -1.48297e+00 
  1.50000e-01   1.36216e-01   8.22714e-01  -1.05806e+00   7.78470e-01  -1.42606e+00 
  2.25000e-01   1.95046e-01   7.47382e-01  -9.53229e-01   6.74588e-01  -1.33995e+00 
  3.00000e-01   2.48507e-01   6.79393e-01  -8.61878e-01   5.78004e-01  -1.23282e+00 
  3.75000e-01   2.97115e-01   6.17813e-01  -7.82025e-01   4.89987e-01  -1.11277e+00 
  4.50000e-01   3.41319e-01   5.61843e-01  -7.12012e-01   4.11227e-01  -9.87102e-01 
  5.25000e-01   3.81515e-01   5.10800e-01  -6.50447e-01   3.41909e-01  -8.61886e-01 
  6.00000e-01   4.18048e-01   4.64095e-01  -5.96155e-01   2.81814e-01  -7.41812e-01 
  6.75000e-01   4.51225e-01   4.21220e-01  -5.48144e-01   2.30425e-01  -6.30181e-01 
  7.50000e-01   4.81315e-01   3.81737e-01  -5.05567e-01   1.87024e-01  -5.29039e-01 
  8.25000e-01   5.08560e-01   3.45267e-01  -4.67704e-01   1.50781e-01  -4.39385e-01 
  9.00000e-01   5.33173e-01   3.11479e-01  -4.33935e-01   1.20824e-01  -3.61395e-01 
  9.75000e-01   5.55342e-01   2.80088e-01  -4.03729e-01   9.62906e-02  -2.94654e-01 
  1.05000e+00   5.75239e-01   2.50843e-01  -3.76627e-01   7.63651e-02  -2.38352e-01 
  1.12500e+00   5.93017e-01   2.23526e-01  -3.52232e-01   6.03027e-02  -1.91452e-01 
  1.20000e+00   6.08812e-01   1.97949e-01  -3.30199e-01   4.74407e-02  -1.52816e-01 
  1.27500e+00   6.22748e-01   1.73945e-01  -3.10230e-01   3.72024e-02  -1.21299e-01 
  1.35000e+00   6.34939e-01   1.51369e-01  -2.92062e-01   2.90952e-02  -9.58123e-02 
  1.42500e+00   6.45486e-01   1.30096e-01  -2.75469e-01   2.27048e-02  -7.53588e-02 
  1.50000e+00   6.54483e-01   1.10014e-01  -2.60251e-01   1.76877e-02  -5.90550e-02 
  1.57500e+00   6.62016e-01   9.10283e-02  -2.46234e-01   1.37620e-02  -4.61355e-02 
  1.65000e+00   6.68163e-01   7.30532e-02  -2.33266e-01   1.06991e-02  -3.59501e-02 
  1.72500e+00   6.72997e-01   5.60156e-02  -2.21213e-01   8.31483e-03  -2.79558e-02 
  1.80000e+00   6.76587e-01   3.98514e-02  -2.09957e-01   6.46222e-03  -2.17049e-02 
  1.87500e+00   6.78995e-01   2.45047e-02  -1.99396e-01   5.02468e-03  -1.68328e-02 
  1.95000e+00   6.80282e-01   9.92684e-03  -1.89440e-01   3.91023e-03  -1.30454e-02 
  2.02500e+00   6.80503e-01  -3.92452e-03  -1.80011e-01   3.04669e-03  -1.01072e-02 
  2.10000e+00   6.79710e-01  -1.70863e-02  -1.71040e-01   2.37762e-03  -7.83172e-03 
  2.17500e+00   6.77956e-01  -2.95904e-02  -1.62466e-01   1.85907e-03  -6.07141e-03 
  2.25000e+00   6.75288e-01  -4.14648e-02  -1.54239e-01   1.45694e-03  -4.71067e-03 
  2.32500e+00   6.71751e-01  -5.27338e-02  -1.46313e-01   1.14476e-03  -3.65916e-03 
  2.40000e+00   6.67392e-01  -6.34184e-02  -1.38650e-01   9.02102e-04  -2.84658e-03 
  2.47500e+00   6.62253e-01  -7.35371e-02  -1.31216e-01   7.13173e-04  -2.21840e-03 
  2.55000e+00   6.56375e-01  -8.31059e-02  -1.23984e-01   5.65795e-04  -1.73242e-03 
  2.62500e+00   6.49800e-01  -9.21392e-02  -1.16930e-01   4.50575e-04  -1.35607e-03 
  2.70000e+00   6.42568e-01  -1.00649e-01  -1.10034e-01   3.60276e-04  -1.06423e-03 
  2.77500e+00   6.34716e-01  -1.08648e-01  -1.03281e-01   2.89315e-04  -8.37565e-04 
  2.85000e+00   6.26283e-01  -1.16145e-01  -9.66562e-02   2.33387e-04  -6.61192e-04 
  2.92500e+00   6.17306e-01  -1.23149e-01  -9.01507e-02   1.89167e-04  -5.23666e-04 
  3.00000e+00   6.07823e-01  -1.29670e-01  -8.37567e-02   1.54087e-04  -4.16184e-04 
  3.07500e+00   5.97868e-01  -1.35715e-01  -7.74685e-02   1.26159e-04  -3.31971e-04 
  3.15000e+00   5.87477e-01  -1.41293e-01  -7.12828e-02   1.03841e-04  -2.65810e-04 
  3.22500e+00   5.76685e-01  -1.46410e-01  -6.51975e-02   8.59374e-05  -2.13682e-04 
  3.30000e+00   5.65527e-01  -1.51075e-01  -5.92123e-02   7.15163e-05  -1.72486e-04 
  3.37500e+00   5.54035e-01  -1.55295e-01  -5.33279e-02   5.98517e-05  -1.39824e-04 
  3.45000e+00   5.42244e-01  -1.59077e-01  -4.75463e-02   5.03760e-05  -1.13843e-04 
  3.52500e+00   5.30184e-01  -1.62429e-01  -4.18701e-02   4.26443e-05  -9.31058e-05 
  3.60000e+00   5.17890e-01  -1.65360e-01  -3.63027e-02   3.63071e-05  -7.64943e-05 
  3.67500e+00   5.05391e-01  -1.67878e-01  -3.08482e-02   3.10889e-05  -6.31394e-05 
  3.75000e+00   4.92718e-01  -1.69990e-01  -2.55108e-02   2.67719e-05  -5.23627e-05 
  3.82500e+00   4.79902e-01  -1.71707e-01  -2.02953e-02   2.31834e-05  -4.36335e-05 
  3.90000e+00   4.66972e-01  -1.73038e-01  -1.52065e-02   2.01862e-05  -3.65354e-05 
  3.97500e+00   4.53956e-01  -1.73991e-01  -1.02492e-02   1.76706e-05  -3.07413e-05 
  4.05000e+00   4.40882e-01  -1.74578e-01  -5.42827e-03   1.55489e-05  -2.59929e-05 
  4.12500e+00   4.27778e-01  -1.74809e-01  -7.48451e-04   1.37506e-05  -2.20861e-05 
  4.20000e+00   4.14669e-01  -1.74694e-01   3.78577e-03   1.22190e-05  -1.88590e-05 
  4.27500e+00   4.01582e-01  -1.74245e-01   8.17015e-03   1.09080e-05  -1.61827e-05 
  4.35000e+00   3.88541e-01  -1.73473e-01   1.24008e-02   9.78042e-06  -1.39544e-05 
  4.42500e+00   3.75569e-01  -1.72389e-01   1.64741e-02   8.80575e-06  -1.20918e-05 
  4.50000e+00   3.62690e-01  -1.71006e-01   2.03871e-02   7.95917e-06  -1.05287e-05 
  4.57500e+00   3.49925e-01  -1.69335e-01   2.41371e-02   7.22029e-06  -9.21191e-06 
  4.65000e+00   3.37297e-01  -1.67389e-01   2.77219e-02   6.57231e-06  -8.09825e-06 
  4.72500e+00   3.24824e-01  -1.65181e-01   3.11398e-02   6.00135e-06  -7.15281e-06 
  4.80000e+00   3.12526e-01  -1.62722e-01   3.43897e-02   5.49590e-06  -6.34717e-06 
  4.87500e+00   3.00421e-01  -1.60027e-01   3.74711e-02   5.04636e-06  -5.65809e-06 
  4.95000e+00   2.88527e-01  -1.57106e-01   4.03838e-02   4.64475e-06  -5.06658e-06 
  5.02500e+00   2.76861e-01  -1.53973e-01   4.31282e-02   4.28433e-06  -4.55699e-06 
  5.10000e+00   2.65436e-01  -1.50641e-01   4.57054e-02   3.95947e-06  -4.11645e-06 
  5.17500e+00   2.54269e-01  -1.47122e-01   4.81168e-02   3.66541e-06  -3.73428e-06 
  5.25000e+00   2.43372e-01  -1.43427e-01   5.03644e-02   3.39809e-06  -3.40163e-06 
