#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.30150e+00   1.00000e+00   8.35323e+01 
  7.50000e-02   7.14752e-02   9.07749e-01  -1.16188e+00   7.28415e+00   8.41802e+01 
  1.50000e-01   1.36406e-01   8.25255e-01  -1.04080e+00   1.36449e+01   8.55421e+01 
  2.25000e-01   1.95475e-01   7.51238e-01  -9.35408e-01   2.01289e+01   8.74438e+01 
  3.00000e-01   2.49276e-01   6.84611e-01  -8.43351e-01   2.67712e+01   8.97375e+01 
  3.75000e-01   2.98328e-01   6.24451e-01  -7.62673e-01   3.35962e+01   9.22971e+01 
  4.50000e-01   3.43086e-01   5.69966e-01  -6.91745e-01   4.06197e+01   9.50146e+01 
  5.25000e-01   3.83948e-01   5.20480e-01  -6.29199e-01   4.78500e+01   9.77971e+01 
  6.00000e-01   4.21268e-01   4.75406e-01  -5.73886e-01   5.52889e+01   1.00565e+02 
  6.75000e-01   4.55357e-01   4.34240e-01  -5.24834e-01   6.29327e+01   1.03249e+02 
  7.50000e-01   4.86491e-01   3.96545e-01  -4.81215e-01   7.07728e+01   1.05792e+02 
  8.25000e-01   5.14916e-01   3.61940e-01  -4.42327e-01   7.87967e+01   1.08143e+02 
  9.00000e-01   5.40851e-01   3.30093e-01  -4.07566e-01   8.69884e+01   1.10260e+02 
  9.75000e-01   5.64491e-01   3.00715e-01  -3.76414e-01   9.53290e+01   1.12109e+02 
  1.05000e+00   5.86013e-01   2.73552e-01  -3.48427e-01   1.03797e+02   1.13659e+02 
  1.12500e+00   6.05574e-01   2.48381e-01  -3.23218e-01   1.12370e+02   1.14888e+02 
  1.20000e+00   6.23315e-01   2.25008e-01  -3.00455e-01   1.21022e+02   1.15778e+02 
  1.27500e+00   6.39366e-01   2.03259e-01  -2.79848e-01   1.29728e+02   1.16313e+02 
  1.35000e+00   6.53841e-01   1.82983e-01  -2.61144e-01   1.38460e+02   1.16486e+02 
  1.42500e+00   6.66847e-01   1.64046e-01  -2.44123e-01   1.47191e+02   1.16289e+02 
  1.50000e+00   6.78478e-01   1.46328e-01  -2.28592e-01   1.55894e+02   1.15719e+02 
  1.57500e+00   6.88824e-01   1.29724e-01  -2.14382e-01   1.64540e+02   1.14777e+02 
  1.65000e+00   6.97962e-01   1.14141e-01  -2.01346e-01   1.73101e+02   1.13466e+02 
  1.72500e+00   7.05968e-01   9.94958e-02  -1.89353e-01   1.81551e+02   1.11791e+02 
  1.80000e+00   7.12908e-01   8.57147e-02  -1.78289e-01   1.89861e+02   1.09760e+02 
  1.87500e+00   7.18845e-01   7.27318e-02  -1.68052e-01   1.98006e+02   1.07381e+02 
  1.95000e+00   7.23837e-01   6.04884e-02  -1.58554e-01   2.05960e+02   1.04666e+02 
  2.02500e+00   7.27936e-01   4.89323e-02  -1.49715e-01   2.13698e+02   1.01627e+02 
  2.10000e+00   7.31192e-01   3.80165e-02  -1.41466e-01   2.21196e+02   9.82793e+01 
