#  Mixed convection heat transfer in the boundary                   layers on an exponentially stretching surface with magnetic field   
#	   eta            f              f'           f''          theta         dtheta
  0.00000e+00   0.00000e+00   1.00000e+00  -1.31827e+00   1.00000e+00  -1.97750e+00 
  7.50000e-02   7.14279e-02   9.06488e-01  -1.17878e+00   8.52766e-01  -1.93490e+00 
  1.50000e-01   1.36216e-01   8.22714e-01  -1.05806e+00   7.11642e-01  -1.81747e+00 
  2.25000e-01   1.95046e-01   7.47382e-01  -9.53229e-01   5.81521e-01  -1.64507e+00 
  3.00000e-01   2.48507e-01   6.79393e-01  -8.61878e-01   4.65703e-01  -1.43974e+00 
  3.75000e-01   2.97115e-01   6.17813e-01  -7.82025e-01   3.65865e-01  -1.22207e+00 
  4.50000e-01   3.41319e-01   5.61843e-01  -7.12012e-01   2.82277e-01  -1.00885e+00 
  5.25000e-01   3.81515e-01   5.10800e-01  -6.50447e-01   2.14125e-01  -8.12016e-01 
  6.00000e-01   4.18048e-01   4.64095e-01  -5.96155e-01   1.59882e-01  -6.38727e-01 
  6.75000e-01   4.51225e-01   4.21220e-01  -5.48144e-01   1.17648e-01  -4.92027e-01 
  7.50000e-01   4.81315e-01   3.81737e-01  -5.05567e-01   8.54124e-02  -3.71900e-01 
  8.25000e-01   5.08560e-01   3.45267e-01  -4.67704e-01   6.12489e-02  -2.76310e-01 
  9.00000e-01   5.33173e-01   3.11479e-01  -4.33935e-01   4.34305e-02  -2.02123e-01 
  9.75000e-01   5.55342e-01   2.80088e-01  -4.03729e-01   3.04840e-02  -1.45796e-01 
  1.05000e+00   5.75239e-01   2.50843e-01  -3.76627e-01   2.12020e-02  -1.03847e-01 
  1.12500e+00   5.93017e-01   2.23526e-01  -3.52232e-01   1.46264e-02  -7.31376e-02 
  1.20000e+00   6.08812e-01   1.97949e-01  -3.30199e-01   1.00176e-02  -5.09935e-02 
  1.27500e+00   6.22748e-01   1.73945e-01  -3.10230e-01   6.81799e-03  -3.52385e-02 
  1.35000e+00   6.34939e-01   1.51369e-01  -2.92062e-01   4.61523e-03  -2.41612e-02 
  1.42500e+00   6.45486e-01   1.30096e-01  -2.75469e-01   3.10985e-03  -1.64536e-02 
  1.50000e+00   6.54483e-01   1.10014e-01  -2.60251e-01   2.08758e-03  -1.11393e-02 
  1.57500e+00   6.62016e-01   9.10283e-02  -2.46234e-01   1.39714e-03  -7.50414e-03 
  1.65000e+00   6.68163e-01   7.30532e-02  -2.33266e-01   9.32944e-04  -5.03460e-03 
  1.72500e+00   6.72997e-01   5.60156e-02  -2.21213e-01   6.22005e-04  -3.36666e-03 
  1.80000e+00   6.76587e-01   3.98514e-02  -2.09957e-01   4.14337e-04  -2.24563e-03 
  1.87500e+00   6.78995e-01   2.45047e-02  -1.99396e-01   2.75942e-04  -1.49519e-03 
  1.95000e+00   6.80282e-01   9.92684e-03  -1.89440e-01   1.83848e-04  -9.94431e-04 
  2.02500e+00   6.80503e-01  -3.92452e-03  -1.80011e-01   1.22613e-04  -6.61086e-04 
  2.10000e+00   6.79710e-01  -1.70863e-02  -1.71040e-01   8.19044e-05  -4.39558e-04 
  2.17500e+00   6.77956e-01  -2.95904e-02  -1.62466e-01   5.48285e-05  -2.92488e-04 
  2.25000e+00   6.75288e-01  -4.14648e-02  -1.54239e-01   3.68014e-05  -1.94884e-04 
  2.32500e+00   6.71751e-01  -5.27338e-02  -1.46313e-01   2.47801e-05  -1.30093e-04 
  2.40000e+00   6.67392e-01  -6.34184e-02  -1.38650e-01   1.67468e-05  -8.70488e-05 
  2.47500e+00   6.62253e-01  -7.35371e-02  -1.31216e-01   1.13646e-05  -5.84129e-05 
  2.55000e+00   6.56375e-01  -8.31059e-02  -1.23984e-01   7.74744e-06  -3.93271e-05 
  2.62500e+00   6.49800e-01  -9.21392e-02  -1.16930e-01   5.30801e-06  -2.65765e-05 
  2.70000e+00   6.42568e-01  -1.00649e-01  -1.10034e-01   3.65635e-06  -1.80345e-05 
  2.77500e+00   6.34716e-01  -1.08648e-01  -1.03281e-01   2.53321e-06  -1.22935e-05 
  2.85000e+00   6.26283e-01  -1.16145e-01  -9.66562e-02   1.76587e-06  -8.42111e-06 
  2.92500e+00   6.17306e-01  -1.23149e-01  -9.01507e-02   1.23896e-06  -5.79873e-06 
  3.00000e+00   6.07823e-01  -1.29670e-01  -8.37567e-02   8.75200e-07  -4.01515e-06 
  3.07500e+00   5.97868e-01  -1.35715e-01  -7.74685e-02   6.22640e-07  -2.79643e-06 
  3.15000e+00   5.87477e-01  -1.41293e-01  -7.12828e-02   4.46238e-07  -1.95956e-06 
  3.22500e+00   5.76685e-01  -1.46410e-01  -6.51975e-02   3.22258e-07  -1.38189e-06 
  3.30000e+00   5.65527e-01  -1.51075e-01  -5.92123e-02   2.34557e-07  -9.80956e-07 
  3.37500e+00   5.54035e-01  -1.55295e-01  -5.33279e-02   1.72103e-07  -7.01095e-07 
  3.45000e+00   5.42244e-01  -1.59077e-01  -4.75463e-02   1.27319e-07  -5.04589e-07 
  3.52500e+00   5.30184e-01  -1.62429e-01  -4.18701e-02   9.49788e-08  -3.65770e-07 
